#,Change Item,Sub-Task,File Path,Location (lines),What Exists Now,What To Do,Type,Effort,Risk/Notes
1,Split Users into Users + Operators,Sidebar menu,components/Sidebar.tsx,"buildNavEntries() ~125-149; Security group 126-135","Single ""Users"" leaf under a ""Security"" group (admin-only)","Add second ""Operators"" leaf (or separate group); keep admin-only",Modify,S,Both remain admin-only visibility
2,Split Users into Users + Operators,Users page (admins),app/users/page.tsx,"whole file; header 136-137","One page lists ALL users (Admins + Operators) with role filter","Filter to role === Admin (+ super admin); update header/subtitle",Modify,M,Header currently reads subtitle ""All operators"" — wrong label
3,Split Users into Users + Operators,Operators page (new),app/operators/page.tsx,new file,Does not exist,"Create new route; filter to role === Operator (reuse users table component)",New,M,Consider shared filtered-table component to avoid duplication
4,Split Users into Users + Operators,Route protection,components/AppChrome.tsx,ADMIN_ROUTES 14-23,"ADMIN_ROUTES = [/users, /audit-logs]","Add /operators to ADMIN_ROUTES",Modify,S,Simple array edit
5,Split Users into Users + Operators,User data model / roles,lib/users-data.ts,"UserRole 1; User type","UserRole = Admin | Operator — NO super admin exists","Decide: add SuperAdmin role OR treat within Admin. Needed to separate ""super admins and admins"" cleanly",Modify,M,DECISION NEEDED — plan says ""super admins AND admins"" but model has no super admin
6,Split Users into Users + Operators,Role casing mismatch,components/UserContext.tsx,Role type,"CurrentUser.role is lowercase admin|operator; User.role is capitalized Admin|Operator","Reconcile casing between the two role types",Modify,S,Existing inconsistency — clean up while here
7,Remove Fares step from voyage creation,Steps array,components/CreateScheduleModal.tsx,STEPS 66-72,"5 steps: Schedule, Routes, Vessel, Fares, Review","Remove the fares entry from STEPS (becomes 4 steps)",Modify,S,Step 4 = index 3 = ""fares""
8,Remove Fares step from voyage creation,Step validation,components/CreateScheduleModal.tsx,"faresValid 175; everyPriorValid 177; stepValid 182","Review step gated behind faresValid (baseFare > 0)","Remove faresValid from gating so Review is reachable without fares",Modify,S,Review currently unreachable without valid fares
9,Remove Fares step from voyage creation,Conditional render,components/CreateScheduleModal.tsx,282-283,Renders <FaresStep/> when step === fares,Remove the FaresStep render branch,Modify,S,
10,Remove Fares step from voyage creation,Fares step component,components/schedule-steps/FaresStep.tsx,whole file,"Renders accommodation/passenger/vehicle/add-on fares + service fee","Delete file (or keep for reuse in vessel mgmt)",Delete,S,Consider moving logic into vessel management UI
11,Remove Fares step from voyage creation,Payload type,components/CreateScheduleModal.tsx,"CreatedSchedule 79-84; submit 220-223","fares included in CreatedSchedule payload","Make fares optional / remove from payload; provide defaults downstream",Modify,M,Downstream code reads fares — must not break
12,Remove Fares step from voyage creation,Payload consumption,app/voyages/page.tsx,"expandSchedulePayload 74-209; fare derivation 106-154","Derives cheapestFare/priciestFare/fareLines from fares object","Handle missing fares (defaults) so voyage expansion doesn't crash",Modify,M,cheapestFare/priciestFare/fareLines stored per voyage
13,Remove Fares step from voyage creation,Review step display,components/schedule-steps/ReviewStep.tsx,Fares section 370-474,Review shows read-only Fares breakdown,"Remove Fares section from Review (or make conditional)",Modify,S,
14,Remove Fares step from voyage creation,Service fee ownership,components/schedule-steps/FaresStep.tsx + RoutesValue,"FaresStep 247-268; RoutesValue.serviceFee","Service fee edited in Fares step but field lives on Routes","Decide where service fee lives once Fares step is gone",Modify,M,DECISION — currently split across Routes + Fares
15,Remove Fares step from voyage creation,Vessel mgmt fare UI,app/vessels/[id]/page.tsx,"passenger types 689-753; vehicle classes 756-793","Vessel detail shows catalogs but NO fare-editing UI","Build new fare-management UI here (where fares now belong)",New,L,Biggest new piece — no pricing UI exists in vessels yet
16,Remove Fares step from voyage creation,localStorage migration,app/voyages/page.tsx,"saveSeries/getSeries 261-297","Existing series in localStorage (tripket.schedule-series) contain fares","Migration/back-compat strategy for stored series with fares",Modify,M,Existing stored data has fares shape
17,Remove voyage status change (enable/disable only),Status type,app/voyages/page.tsx,VoyageStatus 32,"VoyageStatus = Scheduled | Departed | Arrived | Cancelled","Remove lifecycle status; introduce boolean enabled/active",Modify,M,
